Rk,Tm,Abv.,G,#Dr,Plays,Sc%,TO%,Plays,Yds,Start,Time,Pts
1,Denver Broncos,DEN,17,199,1114,28.6,10.6,5.6,27.6,Own 26.5,2:33,1.44
2,Houston Texans,HOU,17,198,1046,28.8,13.6,5.3,24.3,Own 28.2,2:29,1.43
3,Minnesota Vikings,MIN,17,197,1136,36,11.7,5.8,30.8,Own 29.0,2:34,2.04
4,Washington Commanders,WAS,17,197,1170,29.4,11.7,5.9,28.4,Own 26.2,2:53,1.55
5,Indianapolis Colts,IND,17,195,1142,29.2,16.9,5.9,27,Own 28.9,2:40,1.39
6,Dallas Cowboys,DAL,17,195,1146,41.5,10.8,5.9,30.9,Own 29.0,2:35,2.31
7,Tampa Bay Buccaneers,TB,17,194,1197,32,10.3,6.2,30.3,Own 26.9,2:36,1.6
8,New York Jets,NYJ,17,194,1111,29.9,11.9,5.7,27.8,Own 27.9,2:31,1.47
9,New England Patriots,NE,17,192,1043,32.8,12,5.4,27.8,Own 30.8,2:35,1.63
10,Tennessee Titans,TEN,17,190,1016,27.9,10.5,5.3,26.5,Own 27.7,2:38,1.53
11,Los Angeles Chargers,LAC,17,189,1187,38.1,9.5,6.3,32.3,Own 29.6,2:46,2.01
12,Arizona Cardinals,ARI,17,187,1176,32.1,12.8,6.3,29.2,Own 26.8,2:45,1.65
13,Seattle Seahawks,SEA,17,187,1081,40.6,11.2,5.8,31.9,Own 29.5,2:38,2.12
14,Carolina Panthers,CAR,17,187,1009,35.3,9.6,5.4,27.9,Own 28.4,2:36,1.76
15,San Francisco 49ers,SF,17,186,1079,41.4,9.1,5.8,33.4,Own 32.2,2:55,2.32
16,Philadelphia Eagles,PHI,17,186,1149,42.5,10.2,6.2,35.4,Own 29.1,2:48,2.5
17,New Orleans Saints,NO,17,186,1046,31.7,12.9,5.6,30.5,Own 27.7,2:42,1.73
18,Chicago Bears,CHI,17,181,1020,34.3,12.7,5.6,28.7,Own 29.9,2:46,1.85
19,Jacksonville Jaguars,JAX,17,181,1107,39.2,12.2,6.1,33.5,Own 29.6,2:48,2.08
20,Baltimore Ravens,BAL,17,180,1095,38.9,11.7,6.1,32,Own 29.6,2:57,1.9
21,Cleveland Browns,CLE,17,179,1141,34.6,11.2,6.4,33,Own 28.2,3:00,1.89
22,Kansas City Chiefs,KC,17,179,1126,46.4,10.1,6.3,39.3,Own 28.9,2:53,2.71
23,Miami Dolphins,MIA,17,178,1041,38.8,11.8,5.8,34.9,Own 26.6,2:48,2.13
24,New York Giants,NYG,17,177,1115,37.3,7.3,6.3,32,Own 26.7,2:55,1.95
25,Pittsburgh Steelers,PIT,17,177,1153,35,9.6,6.5,30.9,Own 27.3,3:02,1.68
26,Green Bay Packers,GB,17,177,1080,36.2,11.3,6.1,32.5,Own 29.9,3:04,1.97
27,Los Angeles Rams,LAR,17,176,1031,33.5,13.1,5.9,27,Own 26.6,2:53,1.71
28,Detroit Lions,DET,17,176,1122,43.2,8,6.4,36.6,Own 30.1,2:53,2.48
29,Cincinnati Bengals,CIN,16,176,1082,41.5,9.7,6.1,32.7,Own 30.7,2:56,2.36
30,Las Vegas Raiders,LV,17,172,1084,42.4,12.2,6.3,34.7,Own 26.6,3:02,2.18
31,Buffalo Bills,BUF,16,171,1068,45,15.2,6.2,37.1,Own 30.0,2:47,2.52
32,Atlanta Falcons,ATL,17,167,1042,39.5,11.4,6.2,32.3,Own 27.7,3:02,2
